Date,Division,Pipeline,Weighted Pipeline,Closed Sales,Win Rate,Revenue,EBITDA,Cash Collections,Utilization,Headcount,Backlog,FTE
2024-01-31,Clintrex,0.0,0.0,0.0,,488220.0,234598.91249025642,0.0,,2.0,0.0,2.0
2024-01-31,Corporate,0.0,0.0,0.0,,0.0,-164555.2300688267,0.0,,5.0,0.0,5.0
2024-01-31,Design Science,0.0,0.0,0.0,,756220.0800000001,271499.33544155885,0.0,,,0.0,
2024-01-31,Modality,3751000.0000000005,2619800.0,255600.0,69.84270861103705,307457.62,40026.415612033226,0.0,49.3765573353674,15.0,2979199.7899999996,14.625
2024-01-31,Suttons Creek,0.0,0.0,4230295.0,,1066573.551709157,461486.038585943,0.0,55.44685990338164,14.0,0.0,14.0
2024-01-31,ToxStrategies,6084885.4,3468410.86,0.0,57.000430279262126,1739082.71,314328.9144567934,0.0,54.72858033776007,85.0,14052049.209999997,68.87530100334446
2024-02-29,Clintrex,0.0,0.0,0.0,,541704.0,271906.35823595244,0.0,,2.0,0.0,2.0
2024-02-29,Corporate,0.0,0.0,0.0,,0.0,-160237.3500688267,0.0,,5.0,0.0,5.0
2024-02-29,Design Science,0.0,0.0,0.0,,649921.75,144338.20683424664,0.0,,,0.0,
2024-02-29,Modality,3861000.0,2507600.0,131000.0,64.94690494690495,367563.71,134042.51561203322,0.0,48.947695787390444,15.0,3301356.53,14.441964285000001
2024-02-29,Suttons Creek,0.0,0.0,964942.0,,1165824.0821358508,528609.6201125175,0.0,71.59585385878489,15.0,0.0,14.666666666666666
2024-02-29,ToxStrategies,6914109.0,3829504.0,0.0,55.38680399744928,1960432.07,395432.7444567936,0.0,62.00366547325144,87.0,13409748.0,70.99745421245419
2024-03-31,Clintrex,0.0,0.0,0.0,,660500.0,367496.8900162333,0.0,,2.0,0.0,2.0
2024-03-31,Corporate,0.0,0.0,0.0,,0.0,-159544.8500688267,0.0,,5.0,0.0,5.0
2024-03-31,Design Science,0.0,0.0,0.0,,721834.57,227705.86702397442,0.0,,,0.0,
2024-03-31,Modality,3972000.0,2573000.0,1340000.0,64.77844914400805,701736.6899999998,440126.2456120332,0.0,61.5543781372002,15.0,3309233.41,14.663690477
2024-03-31,Suttons Creek,0.0,0.0,733299.0,,915355.7181062318,256859.430449327,0.0,49.073412698412696,15.0,0.0,15.0
2024-03-31,ToxStrategies,6528360.4,3563292.9599999995,0.0,54.581743985825284,1969200.0399999998,371028.6844567932,0.0,59.972019544438105,86.0,14051241.46,71.85459706959705
